# Constructed from biom file
OTUID	amostra1	amostra2	amostra3	amostra4
cbcec8b87e4911dcb7441932c394b394	0.0	2037.0	0.0	12742.0
23289a9b3843a0e919505b3f922910ed	2575.0	2417.0	2595.0	787.0
7ee17e088459b05c5e0a428794cd24cf	4357.0	0.0	3980.0	0.0
fa3be2840777c910e6ffcce73ddc962d	0.0	4423.0	0.0	3126.0
69ca2a3512765807596c06a4710d5d81	2843.0	0.0	2800.0	0.0
43a38d8532787de2d3eef18418b0fa71	0.0	3371.0	0.0	1209.0
1c7d2ad94334dd47c5d0181ab8aea2b9	0.0	1611.0	132.0	2739.0
dc58e2227c798752ad91dc18930c0ec4	1800.0	0.0	2550.0	0.0
d8ee2547d0bf01b4df450b6f7a282e1d	1847.0	38.0	2110.0	0.0
e1f204f2c360caae20343ba0be515961	0.0	1752.0	0.0	1730.0
8b5884acc8c736df09c4260b50dc9297	0.0	0.0	0.0	3371.0
71c441d04349d94e677c77d89565a86a	0.0	2802.0	0.0	533.0
28fc1ddc3403fdb3e6f5c5118f19bb3e	0.0	1891.0	0.0	1127.0
57a226ed1d6939eeedc9b06f7d7a9d60	1248.0	0.0	1446.0	0.0
01bc4b3ab584165971d21e30711c53f3	1489.0	0.0	1135.0	0.0
fb4dc497ea47effb4e92bb71f9c4270a	477.0	1029.0	372.0	725.0
143e6af4cb31b3fe42ba897da3b9401b	922.0	0.0	1604.0	0.0
f8e4d199375183fb0c22aee14f1885c6	1358.0	0.0	1019.0	0.0
26bc738cce23f6d932823aa594d5d7cf	297.0	871.0	404.0	776.0
9273c6d1722f08bb9c75740f99866b2e	1162.0	0.0	801.0	0.0
8f5b897008807f4857b7517225bdc2a4	801.0	0.0	1121.0	0.0
99ebc3fd7be0a94952e00751f9337419	562.0	0.0	1354.0	0.0
d47974c2da911e3b5fb7b86c996ea708	0.0	739.0	0.0	1176.0
4e6ca7e0dd6035e00169be290937bdda	0.0	1467.0	0.0	419.0
a5851d8b35685cf64d625e66b4e9ff3c	434.0	588.0	276.0	586.0
69179c4a6011d0c9d30036cf18626520	0.0	0.0	45.0	1820.0
f0e497775529ca675af7e691cf3966e2	1118.0	0.0	531.0	0.0
4f45cdb936617c6c1d357b4fcab581e5	0.0	831.0	0.0	799.0
58e2d718cf63a52cddd3f1bceedf277e	957.0	0.0	618.0	0.0
d15bc449222795a9ff230013aa633686	0.0	407.0	0.0	1148.0
5113eeef0052be3861782d50d5c50dcb	0.0	1183.0	0.0	352.0
0802867cfb9cdaedb0691b7586002741	545.0	0.0	988.0	0.0
9b558ac7e9b0613b54024f1124769050	455.0	0.0	1073.0	0.0
37b51272226a2eecb4bbb6742c2ae077	0.0	1012.0	0.0	484.0
11b6e034fa40ca4558812f7edd541df1	661.0	0.0	805.0	0.0
1d64c4b5a6f492764f34e0c3be5f0c22	830.0	0.0	634.0	0.0
a241772aa94117cb1ddecc05b4b3c396	0.0	1199.0	0.0	259.0
0b44ba06ee47a7b572aa13a4b247a82c	461.0	293.0	423.0	261.0
5528b449ca6b8532e78d326553464e57	0.0	627.0	0.0	776.0
3baa6d2eb334e87f65778a4022f3b4a8	837.0	0.0	538.0	0.0
9913d8e906d187af3072462549c40c56	1009.0	0.0	338.0	0.0
2da1ffca6c2b57046ba9d58302618c34	81.0	159.0	110.0	955.0
1be4de3d34c1c2a6a3f57d8c973348d7	474.0	0.0	816.0	0.0
04a6f0841acd3d813635efc741af644e	655.0	0.0	622.0	0.0
e335f74033bc634af43ee6baa84fa247	250.0	277.0	305.0	409.0
9524d32abd6a128046a6ec168867efb9	678.0	0.0	553.0	0.0
872aa28beec683f3ecb8ac38b0ca0542	499.0	0.0	698.0	0.0
8706cf753c1c61b73cc17b14697f3fb9	606.0	0.0	578.0	0.0
107273e73071282e4d0f4a0b46548da5	0.0	787.0	0.0	378.0
6f3f563545967c09e5553ec8e11d64ac	1149.0	0.0	0.0	0.0
ed6fac06b54a200b64e94eee3378756b	575.0	0.0	563.0	0.0
6c45c58ed1375501b8eee5833e6d25d9	444.0	0.0	688.0	0.0
9a991f34ef8f769a2477b96375ca17d4	571.0	0.0	557.0	0.0
a3710e3fb3bc7a5db2fde6a7ee502ff4	90.0	193.0	332.0	494.0
141be26526f8c79d51587ebfd5099647	418.0	0.0	691.0	0.0
3ca949a76f1c55fe6b0d682fe5682c59	485.0	0.0	587.0	0.0
7b7d98c9d158aca00dff29d7652682f5	524.0	0.0	511.0	0.0
8e77d7333b96194d27f1624b48c6a368	657.0	0.0	345.0	0.0
b3d684bf08f8249d487951ecd28fa5ab	157.0	0.0	837.0	0.0
204d9693819e264016fa332edbab7ccb	0.0	452.0	0.0	531.0
7b4f1e3961a5e98906a71ed2a823e0ac	561.0	0.0	416.0	0.0
fa6c0be817ef2536a174d63c93eb0b64	503.0	0.0	473.0	0.0
0177b068b338834e7607c473076fadc0	434.0	0.0	530.0	0.0
d825bbe91bc57edd9dcfca27596caecf	0.0	121.0	0.0	765.0
b1b4127591350d60dd86648050be31a0	0.0	675.0	0.0	210.0
cec13331a718b1373086b908b02be2e4	0.0	535.0	0.0	349.0
6b38f98f0046543f822bc42303c65fb7	435.0	0.0	432.0	0.0
a1020689c6eca91a8159b2c6ebd44a78	488.0	0.0	374.0	0.0
40874d61006874f7c87d904707d320d9	118.0	279.0	162.0	300.0
fb09bd939ee8acee32c4ce2863f79ab0	175.0	291.0	337.0	31.0
56c3f28d380f722ff38431ed648b25cc	0.0	479.0	0.0	348.0
9d06acc0f37c899abf0bf25031d5eee9	488.0	0.0	331.0	0.0
c2f51c12309ee0be57dfe7abae71149d	405.0	0.0	410.0	0.0
b8ebb670c767aaac261db48a142213fd	0.0	135.0	126.0	548.0
02b4cbe5c2955ab2f66dc82cdf6dad64	0.0	358.0	0.0	445.0
6b45ece78257d3986b73dcda170f8bab	0.0	612.0	0.0	190.0
3e8ba13b3b42bf02a4af3802f84380d8	471.0	0.0	324.0	0.0
fba1377065d491543f50ae3b64635fb9	364.0	0.0	422.0	0.0
145e8ae8ccdccab9165e10470354e17e	317.0	0.0	462.0	0.0
37f004671c936285c26471120596b2f5	0.0	298.0	0.0	480.0
5ff6e42886da8db2ee8070bef5366dc5	537.0	0.0	237.0	0.0
ed51afd0dfac2ee04ddaa9bc230caf6c	0.0	0.0	771.0	0.0
081031aaf6bdc4d9be62ba995ecf2df0	0.0	477.0	0.0	285.0
4ada64d789329ce44874559601607380	349.0	0.0	400.0	0.0
dfb63e088b5c0ac6c59bd6752d537105	0.0	378.0	0.0	371.0
c5dc97f3124977a979f23452d3dbe005	382.0	0.0	366.0	0.0
b24b37eb0496bb1879b771cea6e04cce	0.0	279.0	300.0	169.0
1815b0675323850980a1c7b9cf085641	223.0	0.0	523.0	0.0
1148de25b6834007897c93e77a664a71	426.0	0.0	312.0	0.0
8a5ba5c13a289e426432ad230d6fdba3	0.0	261.0	387.0	71.0
15e7e6a881ae28b3c7cf3fc08938d51a	289.0	0.0	406.0	0.0
944df4b4f08c965e828a38579afab44d	0.0	396.0	0.0	292.0
0a9e86e9af695681d6ea3cd27c79a17d	216.0	0.0	463.0	0.0
7af6ae689696e9ea838fbb88ee9afb78	0.0	0.0	540.0	134.0
be4d9d00cbe125d88ffcf073a192d46e	470.0	0.0	182.0	0.0
dff98ecabf52b3b8f4bb8211d920c68a	367.0	0.0	283.0	0.0
a79cec8cf5c2f08b4951e64622690dc8	376.0	0.0	270.0	0.0
74aaf8d2b16f98e2e47773401914a22c	0.0	275.0	39.0	321.0
9d413fdf5eec253e5ea993dc1c751390	248.0	0.0	386.0	0.0
a757fd7a769864632f6dc361aa1563c7	334.0	0.0	297.0	0.0
b288ae52d58f2c81fb7fcb171902605d	0.0	221.0	0.0	398.0
9d05014a16ab5a0ee4363d6de545af19	311.0	0.0	306.0	0.0
6d7ab39b5c532c6374d937e712ddcba0	209.0	0.0	388.0	0.0
d7457aba8079de58bd2287d09f75fc9c	287.0	0.0	285.0	0.0
4d72007c70f4abc0bf9e8fe8b826d07d	0.0	322.0	0.0	249.0
cc6bf0ec0de71ff1948f8ae93e6a9eb8	0.0	404.0	0.0	157.0
4207c12eb787ec5930ac846b340801db	92.0	164.0	117.0	180.0
a058dc0534c3b2a4b7064afdcf9c2ae2	0.0	439.0	0.0	111.0
e1e0950f18e814ccace25739d2373bef	0.0	0.0	0.0	534.0
c59c87e68b8a0be6dbfedf1a7f1c6c7b	0.0	242.0	0.0	288.0
07ad9d876beb16869504b233cfa37a5d	333.0	0.0	196.0	0.0
