sample-id	SampleID	SampleName	Sample	SampleType	StageOfTreatment	Local	Season	Replicate
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
1	Sample1.1	STI2-Autumn19	STI	Sludge	SepticTank	FiberglassFactory	Autumn	2
2	Sample1.2	STI2-Autumn19	STI	Sludge	SepticTank	FiberglassFactory	Autumn	1
3	Sample2.1	AFI2-Summer19	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Summer	2
4	Sample2.2	AFI2-Summer19	AFI	Sludge	SepticTank	FiberglassFactory	Summer	1
5	Sample3.1	STI2-Spring18	STI	Sludge	SepticTank	FiberglassFactory	Spring	2
6	Sample3.2	STI1-Spring18	STI	Sludge	SepticTank	FiberglassFactory	Spring	1
7	Sample4.1	AFI1-Summer19	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Summer	1
8	Sample4.2	STI2-Summer19	STI	Sludge	SepticTank	FiberglassFactory	Summer	2
9	Sample5.1	AFI2-Autumn19	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Autumn	2
10	Sample5.2	AFI1-Autumn19	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Autumn	1
11	Sample6.1	AFI2-Spring18	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Spring	2
12	Sample6.2	AFI1-Spring18	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Spring	1
13	Sample7.1	AFP2-Winter18	AFP	Sludge	AnaerobeFilter	School	Winter	2
14	Sample7.2	AFP1-Winter18	AFP	Sludge	AnaerobeFilter	School	Winter	1
15	Sample8.1	STP1-Winter18	STP	Sludge	SepticTank	School	Winter	1
16	Sample8.2	STP2-Winter18	STP	Sludge	SepticTank	School	Winter	2
17	Sample9.1	STI1-Winter18	STI	Sludge	SepticTank	FiberglassFactory	Winter	1
18	Sample9.2	STI2-Winter18	STI	Sludge	SepticTank	FiberglassFactory	Winter	2
19	Sample10.1	STP1-Autumn18	STP	Sludge	SepticTank	School	Autumn	1
20	Sample10.2	STP2-Autumn18	STP	Sludge	SepticTank	School	Autumn	2
21	Sample11.1	STP1-Autumn19	STP	Sludge	SepticTank	School	Autumn	1
22	Sample11.2	STP2-Autumn19	STP	Sludge	SepticTank	School	Autumn	2
23	Sample12.1	AFI1-Winter18	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Winter	1
24	Sample12.2	AFI2-Winter18	AFI	Sludge	AnaerobeFilter	FiberglassFactory	Winter	2
25	Sample13.1	AFP1-Autumn18	AFP	Sludge	AnaerobeFilter	School	Autumn	1
26	Sample13.2	AFP2-Autumn18	AFP	Sludge	AnaerobeFilter	School	Autumn	2
27	Sample14.1	STP2-Spring18	STP	Sludge	SepticTank	School	Spring	2
28	Sample14.2	STP1-Spring18	STP	Sludge	SepticTank	School	Spring	1
